2023-05-21T19:39:36.162Z info: Server is running on port 3030!
2023-05-21T19:39:36.212Z info: Connected to MongoDB
2023-05-21T19:39:47.206Z info: Received a GET request for /vehicles
2023-05-21T19:39:48.614Z info: Received a GET request for /vehicles
2023-05-21T19:40:05.732Z info: Received a POST request for /vehicles/create
2023-05-21T19:40:14.433Z info: Received a POST request for /vehicles/create
2023-05-21T19:41:40.338Z info: Received a POST request for /vehicles/create
2023-05-21T19:41:46.764Z info: Received a POST request for /vehicles/create
2023-05-21T19:44:30.589Z info: Received a POST request for /vehicles/create
2023-05-21T19:48:12.302Z info: Received a POST request for /vehicles/create
2023-05-21T19:48:18.539Z info: Received a POST request for /vehicles/create
2023-05-21T19:48:48.957Z info: Received a POST request for /vehicles/create
2023-05-21T19:49:02.765Z info: Received a POST request for /vehicles/create
2023-05-21T19:49:54.188Z info: Received a POST request for /vehicles/create
2023-05-21T19:50:01.506Z info: Received a POST request for /vehicles/create
2023-05-21T19:50:25.414Z info: Received a POST request for /vehicles/create
2023-05-21T19:59:11.804Z info: Received a GET request for /vehicles
2023-05-21T19:59:12.747Z info: Received a GET request for /vehicles
2023-05-21T20:00:24.786Z info: Received a GET request for /vehicles
2023-05-21T20:00:25.173Z info: Received a GET request for /vehicles
2023-05-21T20:00:47.345Z info: Received a GET request for /vehicles
2023-05-21T20:00:47.439Z info: Received a GET request for /vehicles
2023-05-21T20:42:03.495Z info: Received a GET request for /vehicles
2023-05-21T20:42:03.769Z info: Received a GET request for /vehicles
2023-05-21T21:02:14.312Z info: Received a GET request for /vehicles
2023-05-21T21:02:14.604Z info: Received a GET request for /vehicles
2023-05-21T21:08:31.304Z info: Received a GET request for /vehicles
2023-05-21T21:08:31.457Z info: Received a GET request for /vehicles
